id,stationName,decimalLongitude,decimalLatitude,comment
3e2fc95b-3048-41eb-b52c-59a221818232,NLEG26,29.5359,82.4703,Nansen Legacy station
5213d1c3-8616-493c-89b7-492dd075d10d,NLEG27,27.9103,82.9469,Nansen Legacy station
bd557772-dff4-490a-ba56-22fe881e8321,NLEG28,26.878,83.3821,Nansen Legacy station
48186f45-72e3-43b0-b843-3903377d34db,P8 (NLEG29),25.4114,83.8994,Nansen Legacy station
779fd56d-a87e-428f-bcda-17e45dc42f18,NLEG30,22.0896,84.1782,Nansen Legacy station
1a0f6fd4-2150-472b-a4cb-3a6f90eff039,NLEG31,17.9159,84.496,Nansen Legacy station
7770a428-41c2-433a-a596-c7f9d4d4a7d5,NLEG32,12.3426,84.8254,Nansen Legacy station
355979f8-f6cd-45ff-a163-2fd9df67ef42,P9 (NLEG33),7.4551,85.3707,Nansen Legacy station
7d21e029-f299-4ec9-9337-06bda7bbfdb5,NLEG34,-2.5438,85.747,Nansen Legacy station
2aa6bd69-0cca-4ef8-817a-50b6f67efcbf,NLEG35,-10.6921,86.0051,Nansen Legacy station
1fd2e5ca-4ed6-4897-8431-0d29da2bc83c,P10 (NLEG36),-16.7077,86.5052,Nansen Legacy station
875b2e7b-843a-4748-aff4-2e8330af2b61,NLEG37,-21.5252,87.0041,Nansen Legacy station
7fc074e7-379f-4346-b466-4ece695ae2d4,P11 (NLEG38),-17.3716,87.5009,Nansen Legacy station
022697ee-295c-4ef6-ad88-283d2b81c548,NLEG39,-11.1007,86.6043,Nansen Legacy station
82ea1df7-1580-4f61-baa4-b012d8997a8f,NLEG40,-9.5361,83.8515,Nansen Legacy station
88111a1d-f411-4d63-8c0a-c425cee519ee,NLEG41,-9.6042,83.1549,Nansen Legacy station
c07206f8-b06f-4057-aadf-0028e9df0499,P7 (NLEG25/NPAL16),30,82,Nansen Legacy station
aee00b65-b5a7-11e8-bb1c-a0481c9e7d26,NLEG24,30.5258,81.6828,Nansen Legacy station
aee00b66-b5a7-11e8-bb1c-a0481c9e7d26,NLEG23,30.6647,81.6165,Nansen Legacy station
aee00b67-b5a7-11e8-bb1c-a0481c9e7d26,NLEG22,30.7667,81.5895,Nansen Legacy station
aee00b68-b5a7-11e8-bb1c-a0481c9e7d26,P6 (NLEG21/NPAL15),30.8548,81.5463,Nansen Legacy station
aee00b69-b5a7-11e8-bb1c-a0481c9e7d26,NLEG20,30.9618,81.5025,Nansen Legacy station
aee00b6a-b5a7-11e8-bb1c-a0481c9e7d26,NLEG19,31.0775,81.458,Nansen Legacy station
aee00b6b-b5a7-11e8-bb1c-a0481c9e7d26,NLEG18,31.1448,81.4318,Nansen Legacy station
aee00b6c-b5a7-11e8-bb1c-a0481c9e7d26,NLEG17,31.2468,81.4107,Nansen Legacy station
aee00b6d-b5a7-11e8-bb1c-a0481c9e7d26,NLEG16,31.2933,81.3822,Nansen Legacy station
aee00b6e-b5a7-11e8-bb1c-a0481c9e7d26,NLEG15,31.3487,81.3098,Nansen Legacy station
aee00b6f-b5a7-11e8-bb1c-a0481c9e7d26,NLEG14,34,81,Nansen Legacy station
aee00b70-b5a7-11e8-bb1c-a0481c9e7d26,P5 (NLEG13),34,80.5,Nansen Legacy station
aee00b71-b5a7-11e8-bb1c-a0481c9e7d26,NLEG12,34,80,Nansen Legacy station
aee00b72-b5a7-11e8-bb1c-a0481c9e7d26,P4 (NLEG11),34,79.75,Nansen Legacy station
aee00b73-b5a7-11e8-bb1c-a0481c9e7d26,NLEG10,34,79.5,Nansen Legacy station
aee00b74-b5a7-11e8-bb1c-a0481c9e7d26,NLEG09,34,79.25,Nansen Legacy station
aee00b75-b5a7-11e8-bb1c-a0481c9e7d26,NLEG08,34,79,Nansen Legacy station
aee00b76-b5a7-11e8-bb1c-a0481c9e7d26,P3 (NLEG07),34,78.75,Nansen Legacy station
aee00b77-b5a7-11e8-bb1c-a0481c9e7d26,NLEG06,34,78.5,Nansen Legacy station
aee00b78-b5a7-11e8-bb1c-a0481c9e7d26,NLEG05,34,78,Nansen Legacy station
aee00b79-b5a7-11e8-bb1c-a0481c9e7d26,P2 (NLEG04),34,77.5,Nansen Legacy station
aee00b7a-b5a7-11e8-bb1c-a0481c9e7d26,NLEG03,34,77,Nansen Legacy station
aee00b7b-b5a7-11e8-bb1c-a0481c9e7d26,NLEG02,31.22,76.5,Nansen Legacy station
aee00b7c-b5a7-11e8-bb1c-a0481c9e7d26,P1 (NLEG01),31.22,76,Nansen Legacy station
92f21890-d5a5-11eb-b8bc-0242ac130003,M4 (NPAL01),24.4067,77.2686,Nansen Legacy station
92f21d72-d5a5-11eb-b8bc-0242ac130003,NPAL02,30.001,77.9985,Nansen Legacy station
92f21e76-d5a5-11eb-b8bc-0242ac130003,M3 (NPAL03),31.7146,77.8677,Nansen Legacy station
92f21f3e-d5a5-11eb-b8bc-0242ac130003,NPAL04,31.2961,77.9109,Nansen Legacy station
92f21ff2-d5a5-11eb-b8bc-0242ac130003,NPAL05,33.9855,78.7681,Nansen Legacy station
92f220a6-d5a5-11eb-b8bc-0242ac130003,NPAL06,34.2331,79.6467,Nansen Legacy station
92f22150-d5a5-11eb-b8bc-0242ac130003,NPAL07,33.8122,79.6787,Nansen Legacy station
92f2239e-d5a5-11eb-b8bc-0242ac130003,NPAL08,31.902,79.5865,Nansen Legacy station
92f22452-d5a5-11eb-b8bc-0242ac130003,NPAL09,31.6995,79.543,Nansen Legacy station
92f22506-d5a5-11eb-b8bc-0242ac130003,NPAL10,31.2109,79.4768,Nansen Legacy station
92f225ba-d5a5-11eb-b8bc-0242ac130003,M2 (NPAL11),32.3196,79.6789,Nansen Legacy station
92f2266e-d5a5-11eb-b8bc-0242ac130003,NPAL12,28.5316,79.4709,Nansen Legacy station
92f2297a-d5a5-11eb-b8bc-0242ac130003,M1 (NPAL13),28.0975,79.5894,Nansen Legacy station
92f22a38-d5a5-11eb-b8bc-0242ac130003,NPAL14,28.9512,80.6879,Nansen Legacy station
92f22b96-d5a5-11eb-b8bc-0242ac130003,NPAL17,30.9459,83.2722,Nansen Legacy station
92f22c4a-d5a5-11eb-b8bc-0242ac130003,NPAL18,29.9866,82.6697,Nansen Legacy station
92f22cf4-d5a5-11eb-b8bc-0242ac130003,NPAL19,27.519,81.9292,Nansen Legacy station
92f22ee8-d5a5-11eb-b8bc-0242ac130003,NPAL20 (YP3),8.1556,80.1784,Nansen Legacy station
